S.No,startup_name,industry,city,state,funding_requested,valuation_requested,received_offer,accepted_offer,funding_received,investors
261,Bowled.io,Fitness/Sports/Outdoors,Mumbai,Maharashtra,80,8000,0,,,
262,Toyshine,Manufacturing,Jalandhar,Punjab,125,25000,0,,,
263,neuphony,Medical/Health,Noida,Uttar Pradesh,100,5000,1,1,100,
264,Amrutam,Food and Beverage,Gwalior,Madhya Pradesh,50,2500,0,,,
265,HoloKitab,Technology/Software,Jalandhar,Punjab,45,450,1,1,45,
266,Zoe,Food and Beverage,Gurgaon,Haryana,75,1500,0,,,
267,Hornback,Vehicles/Electrical Vehicles,Hyderabad,Telangana,50,5000,1,1,50,
268,Malaki,Food and Beverage,Mumbai,Maharashtra,50,5000,1,1,50,
269,nanoclean,Manufacturing,Bikaner,Rajasthan,80,4000,0,,,
270,DesmondJi,Liquor/Alcohol,Goa,Goa,100,10000,0,,,
271,Cremeitalia,Food and Beverage,Mumbai,Maharashtra,90,6000,0,,,
272,nawgati,Business Services,Noida,Uttar Pradesh,67,3350,1,1,67,
273,Swytchd,Vehicles/Electrical Vehicles,Bangalore,Karnataka,50,1666.666667,0,,,
274,GladFul,Food and Beverage,Jaipur,Rajasthan,50,2500,1,1,50,
275,Pharmallama,Medical/Health,Bangalore,Karnataka,100,6666.666667,1,1,200,
276,CraveRajaFoods,Food and Beverage,Kolkata,West Bengal,65,2166.666667,0,,,
277,VAPerfume,Lifestyle/Home,Mumbai,Maharashtra,100,1000,0,,,
278,Hood,Technology/Software,Gurgaon,Haryana,120,60000,1,1,60,
279,TwistingScoops,Food and Beverage,Delhi,Delhi,100,4000,1,0,,
280,GROWiT,Agriculture,Surat,Gujarat,100,10000,1,1,50,
281,Makino,Food and Beverage,Himmatnagar,Gujarat,200,10000,0,,,
282,Trunome,Medical/Health,Chennai,Tamil Nadu,150,15000,1,1,150,
283,Wol3D,Manufacturing,Mumbai,Maharashtra,150,15000,1,1,80,
284,What'sUpWellness,Food and Beverage,Kolkata,West Bengal,50,1666.666667,1,1,60,
285,ProostBeer,Food and Beverage,Delhi,Delhi,100,13333.33333,0,,,
286,DrCubes,Food and Beverage,Bangalore,Karnataka,80,533.3333333,0,,,
287,MetroRide,Vehicles/Electrical Vehicles,Bangalore,Karnataka,75,7500,0,,,
288,Conker,Technology/Software,Bangalore,Karnataka,40,4000,0,,,
289,WTF,Food and Beverage,Kolkata,West Bengal,75,1500,0,,,
290,funngro,Technology/Software,Mumbai,Maharashtra,50,4000,1,1,50,
291,Aadvik,Food and Beverage,Delhi,Delhi,60,4000,1,1,15,
292,oyehappy,Business Services,Hyderabad,Telangana,50,5000,0,,,
293,HealthyMaster,Food and Beverage,Bangalore,Karnataka,50,2500,1,1,50,
294,Kitsons,Lifestyle/Home,Hyderabad,Telangana,1000,10000,0,,,
295,LondonBubble,Food and Beverage,Mumbai,Maharashtra,75,1500,1,1,75,
296,WaggyZone,Animal/Pets,Mumbai,Maharashtra,50,1000,0,,,
297,NutriCook,Food and Beverage,"Bangalore,Punganur","Karnataka,Andhra Pradesh",100,5000,1,1,50,
298,Subhag,Medical/Health,"Jhumri Telaiya,Raipur","Jharkhand,Chhattisgarh",50,5000,1,1,20,
299,SinghStyled,Beauty/Fashion,Mumbai,Maharashtra,50,1000,1,1,50,
300,ZSportsTech,Fitness/Sports/Outdoors,Mumbai,Maharashtra,60,3000,0,,,
301,ThePlatedProject,Business Services,Mumbai,Maharashtra,75,3750,1,1,75,
302,VsnapU,Business Services,Goa,Goa,50,3333.333333,0,,,
303,TheHealthyFactory,Food and Beverage,Mumbai,Maharashtra,75,3571.428571,0,,,
304,Brevistay,Business Services,"Dehradun,Nainital,Lucknow","Uttarakhand,Uttar Pradesh",100,6024.096386,0,,,
305,SoulUp,Business Services,Bangalore,Karnataka,50,1666.666667,1,1,50,
306,TheBigBookBox ChapterOneBooks,Lifestyle/Home,Gopalganj,Bihar,50,625,0,,,
307,Rubans,Beauty/Fashion,Bangalore,Karnataka,150,30000,1,1,100,
308,SameNotification,Technology/Software,"Ahmedabad,Mirzapur","Gujarat,Uttar Pradesh",25,166.6666667,0,,,
309,BottomLineSprays,Lifestyle/Home,Ahmedabad,Gujarat,35,700,0,,,
310,LilGoodness,Food and Beverage,Bangalore,Karnataka,100,10000,1,1,50,
311,ForeverModest,Beauty/Fashion,Aurangabad,Maharashtra,20,200,1,1,20,
312,Sahayatha,Medical/Health,Coimbatore,Tamil Nadu,100,1000,1,1,100,
313,WickedGud,Food and Beverage,Mumbai,Maharashtra,50,5000,0,,,
314,maisha,Beauty/Fashion,Ahmedabad,Gujarat,75,2500,1,1,10,
315,NishHair,Beauty/Fashion,Mumbai,Maharashtra,100,5000,1,1,100,
316,MYBYK,Vehicles/Electrical Vehicles,Ahmedabad,Gujarat,200,20000,0,,,
317,GODESi,Food and Beverage,Bangalore,Karnataka,90,18000,1,0,,
318,TAC,Beauty/Fashion,Mumbai,Maharashtra,150,30000,1,1,81,Vikas D Nahar
319,Naara-Aaba,Liquor/Alcohol,Ziro,Arunachal Pradesh,75,3000,1,1,50,Vikas D Nahar
320,StyloBug,Beauty/Fashion,Delhi,Delhi,80,4000,1,1,80,
321,ZenOnco,Medical/Health,Jodhpur,Rajasthan,100,10000,1,0,,
322,HonestHome,Green/CleanTech,Dhampur,Uttar Pradesh,100,5000,1,1,100,
323,AdilQadri,Beauty/Fashion,Bilimora,Gujarat,100,20000,1,1,100,
324,ConsciousChemist,Beauty/Fashion,Jaipur,Rajasthan,60,3000,0,,,
325,TheCinnamonKitchen,Food and Beverage,Chandigarh,Punjab,60,3000,1,1,60,
326,WtfGyms,Business Services,Noida,Uttar Pradesh,100,5000,0,,,
327,Intervue,Technology/Software,"Ludhiana,Ghaziabad","Punjab,Uttar Pradesh",150,15000,1,1,150,
328,RodBez,Vehicles/Electrical Vehicles,Saharsa,Bihar,50,1000,1,1,20,
329,Blix,Technology/Software,Mumbai,Maharashtra,80,4000,1,1,80,
330,Homversity,Technology/Software,Ahmedabad,Gujarat,65,3250,0,,,
331,TURMS,Beauty/Fashion,Bangalore,Karnataka,120,6000,1,1,120,Azhar Iqubal
332,mintree,Beauty/Fashion,Nagpur,Maharashtra,90,9000,1,1,90,Azhar Iqubal
333,80Wash,Manufacturing,Chandigarh,Punjab,100,4000,0,,,
334,DilFoods,Food and Beverage,Ranchi,Jharkhand,50,10000,1,1,200,Radhika Gupta
335,AIKavach/Panoplia,Technology/Software,Hyderabad,Telangana,50,4000,1,1,100,
336,Bartisans,Liquor/Alcohol,Mumbai,Maharashtra,100,4000,1,0,,
337,Aretto,Manufacturing,Pune,Maharashtra,80,8000,0,,,
338,Kalakaram,Manufacturing,Gurgaon,Haryana,50,2000,1,1,60,
339,NabhiSutra,Beauty/Fashion,Vadodara,Gujarat,60,2000,0,,,
340,Zorko,Food and Beverage,Surat,Gujarat,150,15000,1,0,,
341,Tramboo,Fitness/Sports/Outdoors,Srinagar,Jammu & Kashmir,30,1000,1,1,30,
342,WeHear,Medical/Health,Ahmedabad,Gujarat,250,25000,1,1,250,
343,Tiggle,Food and Beverage,Agra,Uttar Pradesh,50,1000,1,1,50,
344,WYLDCard,Technology/Software,Mumbai,Maharashtra,50,10000,1,1,75,
345,upliance.ai,Lifestyle/Home,Bangalore,Karnataka,100,10000,1,0,,
346,PizzaGalleria,Food and Beverage,Gohana,Haryana,100,5000,0,,,
347,AiCars,Vehicles/Electrical Vehicles,Yavatmal,Maharashtra,200,5000,0,,,
348,RooftopApp,Technology/Software,Mumbai,Maharashtra,200,5000,0,,,
349,GoenchiFeni,Liquor/Alcohol,Goa,Goa,100,2000,1,1,200,Deepinder Goyal
350,Arata,Beauty/Fashion,Delhi,Delhi,100,8000,1,1,100,
351,Vecros,Technology/Software,Delhi,Delhi,100,4000,1,1,20,
352,GudGum,Food and Beverage,Bangalore,Karnataka,50,1000,1,1,80,
353,EvaScalp,Medical/Health,Mumbai,Maharashtra,30,2500,1,1,30,
354,Elitty,Beauty/Fashion,Gurgaon,Haryana,100,2500,1,0,,
355,HoneyTwigs,Food and Beverage,Delhi,Delhi,75,2500,1,1,75,
356,Koparo,Food and Beverage,Delhi,Delhi,70,7000,1,1,70,
357,2Ballz,Beauty/Fashion,Indore,Madhya Pradesh,30,600,0,,,
358,JewelBox,Beauty/Fashion,Kolkata,West Bengal,100,5000,1,1,200,Radhika Gupta
359,DaakRoom,Business Services,Delhi,Delhi,36,900,1,1,36,
360,Nuvedo,Food and Beverage,Bangalore,Karnataka,50,1666.666667,0,,,
361,WALK,Medical/Health,Mumbai,Maharashtra,50,3333.333333,1,1,50,
362,RajaRaniCoaching,Beauty/Fashion,Surat,Gujarat,130,2600,1,0,,
363,DecodeAge,Medical/Health,Bangalore,Karnataka,100,8000,1,1,100,
364,ALittleExtra,Beauty/Fashion,Guwahati,Assam,48,800,1,1,60,
365,Assembly,Beauty/Fashion,Gurugram,Haryana,85,8500,1,0,,
366,NasherMiles,Beauty/Fashion,Mumbai,Maharashtra,300,40000,1,1,300,
367,AltCo,Food and Beverage,Bangalore,Karnataka,150,7500,0,,,
368,Without,Beauty/Fashion,Pune,Maharashtra,75,7500,1,1,75,Ronnie Screwvala
369,Kibo,Technology/Software,"Faridabad,Ahmedabad","Haryana,Gujarat",60,6000,1,1,60,Ronnie Screwvala
370,VOLD,Food and Beverage,Ahmednagar,Maharashtra,50,2500,1,1,10,
371,Quirksmith,Beauty/Fashion,Agra,Uttar Pradesh,80,8000,1,0,,
